,title,overall_review,pros,cons,since,date,rating
583,Awesome Boot drive,,"
Pros:
                Fast read and right. PC boots up very fast with with this drive.
            ","
Cons:
                None
            ",Ownership: 1 month to 1 year,1/13/2017 5:22:19 PM,5
584,Great Drive,,"
Pros:
                For the price and specs, it is a really great drive to store games on.
            ","
Cons:
                No problems or issues with this drive. It just works.
            ",Ownership: 1 week to 1 month,1/13/2017 11:38:06 AM,5
585,"SAMSUNG 850 EVO 2.5"" 250GB SATA III 3-D Vertical Internal Solid State Drive (SSD) MZ-75E250B/AM",,"
Pros:
                So far it works good.
            ","
Cons:
                None.
            ",Ownership: 1 week to 1 month,1/12/2017 11:50:01 PM,5
586,Great drive. Performs perfectly.,"
Overall Review:
            The included utilities are useful for monitoring the drive's health. Buy this drive. Buy several. If you have an M2 socket you can use, buy one of those as well for even faster speeds. Though I couldn't imagine why you'd need much faster than this.
        ","
Pros:
                CostTransfer speedReliabilityI've installed 3 Samsung SSDs in different computers over the last year. 1 for the wife, 1 in a laptop, and 1 for my gaming rig. All three have performed as advertised and continue to do so without a single hiccup. Today I checked the total write cycles on my 500GB 850 EVO in my gaming rig and noticed that I've written a total of 7.98 TB to the drive. That's 16 times its full capacity! Generally to the same sectors, too as I'll install new games after freeing up space by deleting older ones. This drive still performs like it did on day 1.
            ","
Cons:
                None.
            ",Ownership: 1 month to 1 year,1/12/2017 3:44:12 PM,5
587,Samsung for SSD is your best way to go.,"
Overall Review:
            Bought this for my sons build as his Mushkin SSD died within 6 months. My Muskin died after 3 months so reading the reviews of these Samsung SSD's longevity made the decision really easy and after seeing first hand the performance and reliability Muskin will now be forever on the outside looking in. Pay a little more for trustworthy SSD's that Samsung provides and it will save you time and money as well many headaches later.
        ","
Pros:
                AffordableReliable
            ","
Cons:
                None
            ",Ownership: 1 month to 1 year,1/11/2017 5:45:31 AM,5
588,"Great Drive, Easy to setup and use.",,"
Pros:
                Insane speeds, so far awesome productivity
            ","
Cons:
                None at the moment.
            ",Ownership: 1 month to 1 year,1/10/2017 11:25:09 PM,4
589,Very fast,"
Overall Review:
            The SSD comes with a disc, but it's optional. I was very pleased with how fast updates and startup times are. I bought this to replace a dying HDD and couldn't approve more.
        ","
Pros:
                11 second startup time for meVery lightEasy install
            ","
Cons:
                Nothing wrong with the product so far.
            ",Ownership: 1 week to 1 month,1/10/2017 3:39:01 PM,5
590,So far so good,,"
Pros:
                - it's a ssd
            ","
Cons:
                - none
            ",Ownership: 1 month to 1 year,1/10/2017 12:08:16 PM,5
591,"SAMSUNG 850 EVO 2.5"" 500GB SATA III 3-D Vertical Internal Solid State Drive (SSD) MZ-75E500B/AM",,"
Pros:
                Outperforms most other SSDs Now have 3 in my latest build
            ","
Cons:
                None
            ",Ownership: 1 month to 1 year,1/9/2017 11:58:08 AM,5
592,Awesome,,"
Pros:
                great SSD drive, lightning fast, fast shipping
            ","
Cons:
                none
            ",Ownership: 1 week to 1 month,1/9/2017 11:55:55 AM,5
593,Less than 1 year = dead,"
Overall Review:
            I purchased this SSD on Jan 8th 2016 and on Jan 4th 2017 it died. Took it to geek squad to get a second opinion and they confirmed a dead drive. Luckily it was my second drive and did not have my OS. It was my game drive. I know it is under warranty but I expected greater than 2 or so years before having to hassle with Samsungs warranty service. Disappointed.
        ","
Pros:
                Easy to installfast read/write
            ","
Cons:
                Did not last a year
            ",Ownership: 1 month to 1 year,1/9/2017 8:33:18 AM,3
594,It just works,"
Overall Review:
            I got this to replace a PNY drive that I'm still in the process of getting it to work. So with that I have 2 of these in my system and they both are pretty darn fast.
        ","
Pros:
                It does what it says it does. Super fast, super efficient and works the first time with no issue
            ","
Cons:
                Not cheap
            ",Ownership: 1 week to 1 month,1/8/2017 7:03:49 PM,5
595,Super Fast Just What I Needed,"
Overall Review:
            Highly recommended - will be buying another for my second build.
        ","
Pros:
                Super fast - boot time greatly increased to at least zero minute wait time or better said it boots under 15 seconds.
            ","
Cons:
                No cons except my BIOS is 4 years old and when setting to AHCI in the BIOS and booting into Windows 10 it BSODs. So I ride it on IDE settings for now. Also I was using an IDE internal as a backup drive and mainly running the Win 10 OS on the SSD but system performance suffered - so I removed the IDE internal and placed an external HD and all is good.
            ",Ownership: 1 month to 1 year,1/6/2017 9:01:31 PM,5
596,It is a solid state,"
Overall Review:
            - I'm pretty much using it as a OS SSD so I haven't filled it up (only have my Operating System on this while all my games and large files are on my 3 TB HDD)
        ","
Pros:
                - Looks sleek- Starts my computer in ooohh ... maybe something like 5 seconds
            ","
Cons:
                - Could be bigger
            ",Ownership: 1 week to 1 month,1/6/2017 12:28:10 PM,5
597,Super fast.  Amazing upgrade,"
Overall Review:
            People say that a quality SSD is the single best upgrade you can make to your system.  I'm no inclined to believer them
        ","
Pros:
                -Upgraded from a 7200 rpm HDD to this with a fresh install of Win 10.  System boots up in ~10 seconds.  All applications are snappy.-Plug and play.  Motherboard had no issues recognizing the new drive.
            ","
Cons:
                -Mostly paranoia I think, but the worry that I'm going to use up all my write cycles is there adding an extra layer of consideration when installing apps.  It's never actually going to happen in all likelihood, but it's still something you wouldn't have to consider with an HDD.
            ",Ownership: 1 week to 1 month,1/6/2017 8:42:40 AM,5
598,"Super fast, simple and easy",,"
Pros:
                Simple packaging. Just the hard drive, no extras. Easy to install, and easily the best upgrade I've ever made to a PC
            ","
Cons:
                Nothing comes right mind
            ",Ownership: 1 week to 1 month,1/5/2017 5:46:37 AM,5
599,easy to install,,"
Pros:
                good speed after full setup whit sofware
            ","
Cons:
                none
            ",Ownership: 1 week to 1 month,1/5/2017 5:10:35 AM,5
600,"SAMSUNG 850 EVO 2.5"" 250GB SATA III","
Overall Review:
            Mounted the drive with MiniTool USB Boot then intalledW10 like a breeze. Remember that SSDs will not be seen the same way HDDs are if not mounted properly first.Was looking to buy Adata SP920 256GB then SAMSUNG 850 EVO 2.5"" 250GB SATA III got cheaper for one day. Took it without questionning
        ","
Pros:
                Works fastMagic software for magic speed...
            ","
Cons:
                I gussed that the cd/dvd provided had an old version of the Magic software so I tried to update it through the software and told it was already up to date. DidN,t trust this answer and Internetized my search to find out I was right to doubt. I expeceted to software to be able to update itself as advertised.Didn't come with a spacer for laptop (some need a spacer and some don't but if even Adata provides one...)
            ",Ownership: 1 week to 1 month,1/4/2017 7:57:03 PM,4
601,"They do the job, and do it well!","
Overall Review:
            10/10 would recommend
        ","
Pros:
                Fast enough, Great options for storage if you have a lot of large file games or video/photo content like myself.
            ","
Cons:
                price? after black friday deals, was reasonable enough so i really can't complain.
            ",Ownership: 1 month to 1 year,1/4/2017 10:13:11 AM,5
602,"Solid quality, works well","
Overall Review:
            This is my second Samsung EVO SSD.  The first, I bought in Jan 2015 is still going strong. :)Not the fastest SSD out there of course, but you get what you pay for and I feel like this is a solid product.  You will still notice an increase in speeds, especially if coming up from a regular HDD.  No reliability issues yet!
        ","
Pros:
                Runs great.  Used this as a games drive for a few simulators/games I have.  Man, what a difference!  You can't go back to a regular HDD after using one of these!Got this for a fair price.  Keep your eyes peeled...Packaging is minimal (very small box)Good warranty.  You can find other SSDs for much cheaper, but check their warranties and you'll see why.  Do you want to risk losing your data?  Even so, be sure to have a backup drive just in case.
            ","
Cons:
                Box came in a padded envelope, squished in the corner/edge.  It works fine but maybe this isn't the best way to ship something so fragile/pricey?  It comes with HDD copying software, which I have easily used in the past to copy my original O.S HDD drive to a new SSD O.S. drive.  However, I tried it this time around and learned that this will ONLY work for an O.S. drive. ??? Why?  Why have software that can ONLY clone an O.S. drive?  What was Samsung thinking when they limited the function in this way?  I took off half an egg for that. Thankfully, there are freeware/trial programs out there that you can use to clone a secondary HDD onto this SSD but they really dropped the ball here.Buy mounting screws if you don't have them.  Samsung still does not ship those with these and you might have a hard time finding them when you need them otherwise.  I took half an egg off for that too.  Yes, some people will have these screws, but how much more would it cost them to send 4 with the package for those who don't? (As an aside, try asking Best Buy or another store for a few extra if you are out of luck and you might get lucky like I did!)
            ",Ownership: 1 month to 1 year,1/4/2017 7:27:12 AM,4
603,Won't Install Windows Onto It,"
Overall Review:
            I've always hated Samsung. I think they are one of the worst consumer level electronic manufactures. Despite this, their flash memory is usually pretty good so I figured I'd overcome my bias and try their SSD. Big Mistake.
        ","
Pros:
                -best speed for the price-great value for the storage space (for SSD's)
            ","
Cons:
                It doesn't work. The first thing I did was try to install Windows 10 onto it. Using advanced setup during the Windows installation process, I created a partition and told Windows to install there. ""Error Code 80070057"", I am told. I tried several more times, including with various different versions of Windows, but to no avail. I switched back to my old drive (Corsair SSD) and installed the 850 EVO as a secondary. Windows starts up fine and sees the new drive as a secondary without any issues. That would be great if I weren't planning on putting my OS on it. So, I restart at the beginning and attempt to install Windows on the 850 EVO again, only this time, the computer doesn't even see the drive. This continued several more times until I gave up on it. Either, Windows didn't see the drive at all, or it wouldn't install because of ""80070057"".
            ",,1/3/2017 12:33:53 PM,1
604,Poor Life Span,"
Overall Review:
            Can't recommend this drive!
        ","
Pros:
                While it worked great when it was new, the performance fantastic.
            ","
Cons:
                After a year, performance started declining and issues started with lockups. I would run a scan and find problems and then repair. Problems increased and then one day it no longer worked. My system kept throwing an error until it totally locked up and could not even be seen by the bios. If you want a drive that has a short life span buy one of these or do your self a favor and buy one that has a history of a long life. For the cost, I guess I expected much more!
            ",Ownership: more than 1 year,12/30/2016 10:59:26 PM,1
605,"Fast, Compact, and Reliable","
Overall Review:
            Mounting solutions sold separately. These things are solid enough that you could use double sided tape and stick them to the case if you wanted. :P
        ","
Pros:
                Easy setup, no driver downloads required. Was able to set up two of these in a RAID-0 Stripe configuration with no hassle at all. Fastest install of Windows 7 that I have ever seen. Boots up from cold start in less than 15 seconds! Used for a year now with no issues whatsoever.
            ","
Cons:
                No real complaints here.
            ",Ownership: more than 1 year,12/30/2016 9:49:33 AM,5
606,"Great Product, Easy Transfer",,"
Pros:
                The product is snappy and brought like to an old system.The transfer rate is pretty good
            ","
Cons:
                N/a
            ",Ownership: 1 month to 1 year,12/29/2016 1:24:45 PM,5
607,Samsung is the best,,"
Pros:
                This SSD was easy to install and will speed up your laptop. Price is on the high end but worth the money.
            ","
Cons:
                None so far
            ",Ownership: 1 month to 1 year,12/29/2016 11:22:28 AM,5
608,I would purchase another,,"
Pros:
                Id purchase another SDD from them. This is my first time guying one so i was a bit scared. After installing my games look betterwindows loads faster. I need a second one soon
            ","
Cons:
                none
            ",Ownership: 1 month to 1 year,12/29/2016 3:22:33 AM,5
609,perfect,,"
Pros:
                great speed
            ","
Cons:
                none
            ",Ownership: 1 week to 1 month,12/28/2016 11:20:12 PM,5
610,Great while it lasted!,"
Overall Review:
            Can't recommend this SSD to other people for anything other than a cache drive. We'll see how the RMA Process goes.
        ","
Pros:
                - It worked great for 10 months.
            ","
Cons:
                - Its slower on write speed than my Seagate HDD's now.- Its starting to show signs of failure after only 10 months.
            ",Ownership: 1 month to 1 year,12/28/2016 4:05:31 PM,1
611,"SAMSUNG 850 EVO 2.5"" 500GB SATA III 3-D Vertical Internal Solid State Drive (SSD) MZ-75E500B/AM","
Overall Review:
            waiting to hear back from newegg about a replacement or refund???
        ","
Pros:
                non
            ","
Cons:
                got the item was DOA... tried the drive in 3 computers and no dice...
            ",Ownership: 1 day to 1 week,12/28/2016 2:04:01 PM,1
612,Not Another Stupid Review,"
Overall Review:
            Im surprised to see reviews whining about customer service issues or users display their technical ignorance. These people should not leave reviews for this product.I see people having the audacity to whine about an SSD not coming with SATA cables, for an SSD not having software to transfer the OS, blaming the SSD instead of the RAID software for bad RAID configurations, leaving bad reviews because the carrier lost the package...The SSD just works. Be sure to buy it and register it. In the event the SSD fails early, if you've registered the warranty Samsung or Newegg will replace it with a brand new one. Simple as that.
        ","
Pros:
                I own a 500GB 850 Evo and a 1TB 850 Evo. I use the 500GB for gaming only and the 1TB for photo/video editing. I've had them for two years and they work the same as on day one.Much faster than HDD.Zero noise in my case.Weighs only a few grams.I removed the drive caddy because these drives are so small.
            ","
Cons:
                None.Thus far they are fast, reliable, and the price per gig for as SSD is quite reasonable.
            ",,12/28/2016 7:49:10 AM,5
613,840 Evo Desktop Now 850 Evo Alienware Laptop,"
Overall Review:
            If I could afford another 500gb SSD Samsung Evo, I would like to purchase the mSata Samsung Evo 500gb SSD for my Alienware so I would have 2 in it for boot and storage without having to take out my DVD if I choose not to. However, if I did buy the mSata I would still want to reinstall the original 750gb HDD back In my Alienware for storage as well so I have even more space to use or to use as a dual boot system incase something goes wrong with the SSD. To reinstall the 750gb though I would have to buy a cradle that looks like the dvd drive, then I would have to remove my dvd from the laptop and use the space for the 750gb HDD.
        ","
Pros:
                I owned an 840 Evo sense 2014 and its still running strong in my desktop to this day, and now I have the 850 Evo I just bought 11/2016 for my Alienware Laptop. Both drives are very fast and if my 850 Evo holds up as well as my 840 Evo then very reliable as well. So far I haven't had any issues at all with either SSD.
            ","
Cons:
                The biggest con I have with both my 840 and 850 Evo SSD's are the migration software. I could be wrong, but I haven't found any way at all to clone my HDD - SSD without having to buy a data cable for such a thing. I tried the included software for hours in my desktop trying to migrate (clone) my HDD with my OS installed to my 840 Evo SSD and no matter what I did it would not work. I even tried Acronis cloning software (the most up to date version) with no luck at all. I got so mad it would not work, and that every single thing I found on doing it for it to work consisted of having to pay more money for something that if it was needed for the migration of your old drive to your new at the selling price these drives go for they should have come with such cable to do so instead of mislead any and all that don't have this cable by stating its so easy but not mentioning you need the cable to do it. I ended just doing a complete fresh install of my OS on both my desktop and my Alienware cause of this misconception of information about migrating your os from your hdd to your brand new faster ssd.I'm not going to take a star from this SSD for this lousy misconception of the software because the SSD performs very very well.
            ",Ownership: 1 month to 1 year,12/27/2016 4:29:20 PM,5
614,High quality SSD,"
Overall Review:
            Have only been using it for a month, so can't really say much about durability/life span.
        ","
Pros:
                Very fast, I upgraded to this from an HDD and my boot times are ridiculously quick.
            ","
Cons:
                A bit on the costly side, though it still feels like a fair price when on sale.
            ",Ownership: 1 month to 1 year,12/27/2016 1:39:41 PM,5
615,Amazing speed! Plenty of space!,"
Overall Review:
            I recommend these drives. I purchased two of these to replace my platter drives of only 80GB. I ran out of space, so it was time for an upgrade. These Samsung drives very fast, and my space problem is a thing of the past. They've been performing wonderfully now for 3.5 months. I'm very happy with my purchase.
        ","
Pros:
                - Inexpensive- Crazy fast- Plenty of space
            ","
Cons:
                None
            ",Ownership: 1 month to 1 year,12/26/2016 9:52:17 PM,5
616,Complete JUNK!,,"
Pros:
                Worked great, however, durability is very poor as drive lasted less than 3 months.
            ","
Cons:
                very short lifespan, device lasted less than 3 months
            ",Ownership: 1 month to 1 year,12/25/2016 8:23:30 PM,1
617,Beware of free download of game,"
Overall Review:
            I have been trying to down load the free watch dogs game for over a month. UBISOFT will not let me create an account to download the game. I tried to send them an email, can't do it without an account. I think this is a scam.I would have given this product 5 eggs if I was able to claim the free game!
        ","
Pros:
                Great hard drive. Must faster than my old spinner.
            ","
Cons:
                Only con is not being able to get the free game
            ",Ownership: 1 month to 1 year,12/24/2016 5:43:36 AM,3
618,Fast SSD Mobo found it with no issue,"
Overall Review:
            it worked out of box, installing games on it now. Samsung makes great storage devices.
        ","
Pros:
                Great inexpensive storage solution.
            ","
Cons:
                Newegg didn't send me the watch dogs 2 code like Samsung/Nvidia is offering.
            ",Ownership: 1 week to 1 month,12/23/2016 3:16:12 PM,5
619,Very fast,"
Overall Review:
            I had originally used this in my desktop which uses a PCI-E 1x SATA3 card (my PC only has SATA2 onboard), but on my computer it said 408MB/s. My corsair SSD also says 408MB/s which is due to my PCI-E card. Once i put this Samsung SSD into my mother's laptop which has native SATA3 support, it hit 550MB/s.It was actually at this time that i realized my SATA3 card is bottlenecking my SSDs. But that's another story.This samsung Drive is great, 5 eggs easy.
        ","
Pros:
                -It had a really good price point for me.-CDM had it at 550MB/s read, and 525MB/s write.-Very light weight.
            ","
Cons:
                -It COULD have been cheaper, but it is what it is.
            ",Ownership: 1 week to 1 month,12/22/2016 11:42:19 AM,5
620,Did not work well for me,"
Overall Review:
            I would not recommend this drive to anyone
        ","
Pros:
                None that I can find at this point
            ","
Cons:
                Received the drive, which required an additional cable (that I had to go purchase) to hook it up to a USB port, download software from a disk to the hard drive to be able to clone my old hard drive to this new hard drive. I tried to of my standard methods for cloning the drive and it would not work had to be done there way. Totally unsatisfied. Also the drive ran slower than my platter drive once installed.
            ",Ownership: 1 week to 1 month,12/22/2016 9:24:53 AM,1
621,If only it worked so good in windows 10,"
Overall Review:
            Would I recommend this to others?  Yeah, if they have a really new system, and really need the best in drive speed.  I suspect the newest storage controllers may be more compatable with SSDs.  Would I buy this product again - doubtful I'd buy any SSDs for a while, at least until I stop seeing posts like ""I put an SSD in my system and now it....""
        ","
Pros:
                Faster than HDD, even on a 3gb SATA connection
            ","
Cons:
                Does not play well with Windows 10 (then again what that is older than Windows 10 does?)When I bought this, I was still running Windows 7, and the migration software that everyone complained didn't work in Windows 10 did not work in Windows 7 either (3 tries - strike 3  and you're out).   So, used a third party drive cloner, installed (OK) and then tried to update to Windows 10.  Apparently the free upgrade build of Win-10 did not install well on most SSD's and Samsungs were unfindable by the Microsoft upgrade software.  Put HHD back in, update to Win-10, then clone to SSD.  All was OK for about 45 days, then started having problems with system/drive ""freezing"".  First noticed that if I put the system to sleep, rather than shutdown, sometime could not bring it back.  Then started noticing that if I left system sitting idle for several minutes, it would freeze/lockup.  Everything looks live, but no response to keyboard, or mouse, or network.Several days of internet research led to seeing several hundred (that I read, thousands more I skipped) of this problem with many SSDs, and especially Samsung.  Found only 3 possible solutions, and none of these worked (Actually one was to disable AHCI mode - but this isn't available in my BIOS, and Win-10 won't let you use the Intel storage controller driver  - even if you can get it installed, when you reboot windows puts its' driver back in place.Another ""fix"" was to turn off the ""PCI Express - Link State Power Management""  So that windows theoretically would NOT go to a reduced power mode when the system is idle.There is no mention of ANY problems / potential solutions on Samsung site.  And their ""Magician"" software has 3 functions: display drive status, enable/disable ""RAPID"" mode, run a drive performance test.  WOW real magic - ?All in all, nothing really terrible, but nothing to brag about either.And before anyone asks how i can be certain it is the drive?  Simple, cloned system back to a WD 500gb HDD, and all the problems were gone.  But of course everything loads slower, runs slightly slower....
            ",Ownership: more than 1 year,12/21/2016 11:49:14 PM,2
622,No need for disk drives anymore,,"
Pros:
                -At the time I bought it, there wasn't a better GB/$ ratio. I cannot believe SSD's are this cheap and reliable!-Using it for all my Steam games, so far used 300GB with no problems
            ","
Cons:
                -None
            ",Ownership: 1 week to 1 month,12/21/2016 7:14:42 PM,5
623,First SSD drive,"
Overall Review:
            7 months (Dec. 2016) later i purchased 500G as main and transfered all of drive from original 250G to new 500G SSD using accompanied samsung software All transfered perfectly including Win 10 OSNo problems no issuesexcellent quality and performance.
        ","
Pros:
                Incredibly easy to install. No problems with Win 10
            ","
Cons:
                None
            ",Ownership: 1 month to 1 year,12/21/2016 4:56:41 PM,5
624,Amazing SSD!,,"
Pros:
                Very Fast!!
            ","
Cons:
                none
            ",Ownership: 1 month to 1 year,12/21/2016 11:36:28 AM,5
625,"After 2 months, still working great","
Overall Review:
            I would buy again and recommend to my friends.
        ","
Pros:
                I had no issues installing and restoring my old system (from a 120GB ADATA SSD) to this with Acronis backup software.
            ","
Cons:
                None so far
            ",Ownership: 1 month to 1 year,12/20/2016 7:39:33 AM,5
626,Upgraded from a 128GB 830 series,"
Overall Review:
            Was initially shipped a 250GB drive instead of 500GB. Sent it back and received the 500GB SSD a week later. Quick and painless. This is why I keep shopping at Newegg.
        ","
Pros:
                10x the IOPS of my old Samsung SSD. Crazy the difference 4 years makes.
            ","
Cons:
                Speeds are capped because of the SATA III interface. NVMe is still expensive. Can't wait for prices to drop.
            ",Verified Owner,12/20/2016 3:34:19 AM,5
627,Locks up/doesn't post/horribly unstable,"
Overall Review:
            Tried everything there is for 2 years!!! Being that I'm from Redmond Washington and the home of Microsoft and many other major tec-savvy companies my friends and family who work for them cant figure it out either. I have made sure all my bios are up to date and that all my hardware is compatible. I have uninstalled the OS several times and have tried both windows 7 and windows 10. I have gone back to my western digital ssd drive and everything is fine is all instances. I've received a bunk drive and haven't had time to deal with mfg warranty since I'm stubborn and believe I can fix it. Not in this case. Very FRUSTRATED with Samsung over this. I have a awesome Samsung plasma tv, tablet, and phone that I swear by but when it comes to this hard drive I don't think I'll ever buy a Samsung again. I'm sorry Western digital! I'll never stray again! I just needed more room and thought I'd give this a shot.
        ","
Pros:
                Good paper weight.
            ","
Cons:
                Unstable and doesn't load half the time but if it does it crashes then restarts and says cant find boot manager.
            ",Ownership: more than 1 year,12/19/2016 9:28:43 PM,1
628,Best SSD for performance at this price,"
Overall Review:
            Other then the BitLocker issue, the software is easy to use and the drive is supper fast!  A great value!
        ","
Pros:
                It is super fast and is the best bang for the buck.  Our company laptops are aging and I have been putting in these drives to upgrade 3-5 year old Dell Latitude laptops.  It comes with cloning software that is very easy to use, but you will need a USB to SATA dock/converter to connect the SSD as a second drive on a laptop.  I install the Samsung software, hook up the EVO drive via USB, and clone it.  Then power down the laptop, install the EVO and set to the boot drive in BIOS.  If you have a desktop, you should be able to just connect the EVO to a second SATA port.The boot times are amazing, even with old laptops.  These make old laptops usable and productive again.  The 3D vertical NAND allows for more density in the memory, so it seems to run faster and use lest power, creating less heat.
            ","
Cons:
                My company uses BitLocker and found this to be a bit of a problem the first time I used the cloning software.  I found it is easiest to unencrypt the original drive, clone it, then re-enable BitLocker when I was all finished.  With the speed of this SSD, it didn't take that long.  If you use BitLocker, you may need to open the Samsung Magician software, select ""Data Security"" and then enable ""Encrypted Drive"" before reencrypting the new SSD with BitLocker.  The first time I tried to use Data Migration, I didn't unencrypt BitLocker and I had to use the BitLocker key to boot, then the ""Encrypted Drive"" option in Magician would not enable.  The error message in BitLocker led me to a file that I renamed so the system wouldn't see it, and then rebooted.  The file was recreated and I was able to re-enable Encrypted Drive and BitLocker without loosing my data.  Google the error message and you will find the file that lives in the Windows directory (I can't remember the file name, and was unable to find it with out the original error message that BitLocker was giving me).
            ",Ownership: 1 month to 1 year,12/19/2016 11:25:57 AM,5
629,Fast Drive,,"
Pros:
                Upgraded my system, and my primary drive went from a 250GB SATAI HDD, to this. Instant difference in speed and noise.UPDATE: It's been a year since installed and so far I have had 0 issues with this drive. Boot time for Win7x64 is now about 12 seconds. I install my apps to this drive (Adobe CS6, video games, Office) and load time is super fast. I have a 1TB secondary drive setup for My Docs, Downloads, Music etc. It's a great drive.
            ","
Cons:
                Only negative I have is about the manual. Setup guide for laptop and pc both say to use a sata-usb adapter to transfer the content of your old drive to the new drive using their software, but, no adapter. Bit annoying to show it in the manual then realize if you need it, you'd have to pay $15 to buy one, only to use it probably once.
            ",Ownership: more than 1 year,12/19/2016 9:40:15 AM,5
630,Great and fast,"
Overall Review:
            great to put OS system in it, just dont install games or you will run out of space really fast. huge advantages in speeds
        ","
Pros:
                great to put OS system, very fast boot times (11 secs, i56500, 8gb ddr4 2133)
            ","
Cons:
                non as of now
            ",Ownership: 1 week to 1 month,12/19/2016 7:25:48 AM,5
631,Blazing fast Samsung SSD,"
Overall Review:
            SSDs are a must nowadays. With the Samsung installed, my computer boots to Windows in under 10 seconds every time. Samsung delivers the perfect choice for anyone in the market for one of these drives. If you're considering going with a cheaper option, don't. This drive will not let you down. 5/5 eggs!
        ","
Pros:
                -Fast-Good looking-Reliable
            ","
Cons:
                -Nothing
            ",Ownership: 1 week to 1 month,12/18/2016 7:19:57 PM,5
632,Awesome performance gain,"
Overall Review:
            This is the best upgrade you can offer yourself. I installed this on a 2013 Sony Vaio AMD laptop running windows 8.1 that was HORRIBLY slow, it took over a minute and a half to login in that computer, opening applications was painfully slow even though it has 8GB of RAM and a decent AMD processor for personal use (internet, emails, social media, video watching), it really was not pleasant using that laptop. Swaping the HDD with this EVO SSD improved the performance by 100, I can now LOGIN the desktop from OFF state in less than 14 seconds, everything is snappy and reactive, apps open promptly with no hesitation. Best upgrade ever. I have NEVER experience that laptop going so fast even when it was brand new.
        ","
Pros:
                samsung data migration software was super easy to use, no issue during and after transfer, swapped the drive and it simply worked. 5 year warranty, really fast sata drive, using the laptop is a totally different experience.
            ","
Cons:
                IF something happend with the drive while it is covered by the warranty, I read horror stories for Canadian customers, lost drives for months, need original receipt and original packaging, no online RMA is possible by the users. But if there are NO issue with the drive, I have abosolutely nothing negative to say about it.
            ",Ownership: more than 1 year,12/18/2016 3:52:45 PM,5
633,Great price & product.,"
Overall Review:
            I would indeed recommend this to a friend!
        ","
Pros:
                Easy to set up, runs fast & smooth. Great price The cloning process is easy to understand & was done in just a few minutes.
            ","
Cons:
                Non
            ",Ownership: 1 month to 1 year,12/16/2016 8:33:05 PM,5
634,Great SSD for the money,"
Overall Review:
            Yes i would recommend this product.
        ","
Pros:
                Good 500 GB drive for the money. On my system, I got 466 GB of usable space.Samsung Migration Software included - made cloning my previous HD to the new Samsung SSD very easy. Took about 15 minutes start to finish.
            ","
Cons:
                None so far.
            ",Ownership: 1 week to 1 month,12/16/2016 3:22:30 PM,5
635,Defective after a little more than a year,"
Overall Review:
            As many of you reading this, I am rather astonished. Samsung has a very good reputation. Of course, there are always a number of defective units.  I believe that Samsung should be more careful to send a good unit after a defective one has been returned...
        ","
Pros:
                It is fast.
            ","
Cons:
                The unit has been defective a little more than one year after I have purchased it. I have looked for a way to apply the warranty, but I have been unable to easily find contact information.After a lot of search and bouncing from one phone call to the other, I finally got the phone number to return the defective SSD, and I had the 5-year warranty applied. The Samsung phone number that I have used is 855 726 8721.Once I have had the correct phone number, the process was easy and fast.However, they sent me a ""refurbished"" ssd. I used it for a day. When I tried to delete a few files the next day, it did not work well. ""Ghost"" files remained. I had to reformat. I decided to stop using the unit. Another way to say that I feel that I have wasted a lot of money.I must say that I have replaced the Samsung SSD by an Intel SSD that works great for the moment and that has a reputation for reliability (according to an IT specialist that I paid to help me with the defective SSD--adding to the wasted money).
            ",Ownership: more than 1 year,12/16/2016 7:36:18 AM,1
636,"Quality, Speed, Reliability!","
Overall Review:
            Samsung's drives are known for their speed and so they are priced at a premium. You get what you pay for. Don't look anywhere else. Get one of these.
        ","
Pros:
                This is the third Samsung drive I have purchased, all different capacities. These drives are very fast and very reliable. I have had no issues with any ones I have had in the past, which I am still currently using or this one. Easy installation, just plug it in and forget about it.
            ","
Cons:
                Nothing bad to say here, although at times the supply and demand of these drives the price up considerably, but that is the law of the land.
            ",Ownership: 1 week to 1 month,12/14/2016 10:34:05 AM,5
637,"Super fast drive, easiest transfer software i have seen","
Overall Review:
            I only buy Samsung drives when i know i have to migrate an existing drive as i know the job will go cleanly and quickly
        ","
Pros:
                The software Samsung provides to migrate an existing drive i flawless i have used the same transfer kit and software to migrate several drives and its always flawless a quick no muss no fuss migration
            ","
Cons:
                none that i can see
            ",Ownership: 1 day to 1 week,12/14/2016 9:21:38 AM,5
638,Failing in a year,,"
Pros:
                none
            ","
Cons:
                SSD failed with no warning after just a year, OS was on it so getting my computer to run again will be a huge headache.do not buy
            ",Ownership: more than 1 year,12/13/2016 3:14:37 PM,1
639,Failed Drive,,"
Pros:
                It was fast...while it lasted.
            ","
Cons:
                Died after 9 months of use, won't show up in BIOS.  I replaced sata/power cables and tried new ports on my motherboard, but no luck.
            ",Ownership: 1 month to 1 year,12/13/2016 8:01:44 AM,1
640,"SAMSUNG 850 EVO 2.5"" 500GB SATA III 3-D Vertical Internal Solid State Drive (SSD) MZ-75E500B/AM",,"
Pros:
                Boots to os in 11 seconds games scream Fast
            ","
Cons:
                n/a
            ",Ownership: 1 week to 1 month,12/13/2016 1:05:21 AM,5
